code,name,tier,group,mktcap_yi,pe,pb,rev_26h1,rev_yoy_calc,np_26h1,gm_26h1,gm_chg_pp
300253,卫宁健康,核心,垂直行业软件,151.89,-40.78,2.818,9.9441,18.5,-1.764,33.667778,-2.74
301095,广立微,核心,工业/研发设计软件,150.13,166.578,4.78,3.4107,38.68,0.3478,60.398613,1.82
002990,盛视科技,观望,软硬一体/垂直信息化,147.78,171.061,5.742,7.3428,33.73,1.0666,41.529654,2.24
002929,润建股份,剔除,工程/运维/非软商业模式,147.2,367.143,2.253,37.5559,-22.83,0.2679,13.544331,0.07
603613,国联股份,剔除,传媒/广告/电商/零售,141.66,10.743,1.448,201.7986,-16.09,6.8567,7.956934,1.6
002405,四维图新,观望,数据/云/算力服务,141.02,134.312,1.697,17.6676,0.36,-4.8882,22.443275,-10.59
688031,星环科技,核心,基础软件/数据库/云,140.15,-51.084,18.694,1.736,13.83,-1.1284,47.113817,1.43
000682,东方电子,剔除,嵌入式/电力·轨交·军工硬件,139.44,15.29,2.23,36.6735,15.98,4.0286,30.681485,-2.4
300166,东方国信,核心,AI 原生/智能应用,138.93,-64.211,2.457,10.9955,16.87,-0.7968,32.658583,1.24
002410,广联达,核心,工业/研发设计软件,138.76,34.049,2.365,26.183,-6.47,2.0034,88.816551,1.02
002174,游族网络,剔除,游戏,137.27,-36.868,2.942,6.9637,1.21,2.5268,34.442921,-5.25
688158,优刻得科技,核心,基础软件/数据库/云,136.6,-185.313,5.55,9.8165,24.09,0.0808,28.357786,3.4
300302,同有科技,剔除,嵌入式/电力·轨交·军工硬件,135.39,-257.521,10.534,2.6076,50.12,2.5779,49.100984,-2.51
300671,富满微,剔除,芯片/半导体设计,134.67,-71.607,8.038,6.777,77.04,0.9064,26.12605,15.19
603888,新华网,剔除,传媒/广告/电商/零售,130.48,36.032,3.409,8.3205,2.66,1.4557,40.589083,0.45
600633,浙数文化,剔除,传媒/广告/电商/零售,128.46,22.511,1.243,17.2729,22.16,3.0139,41.021721,-14.64
688507,索辰科技,核心,工业/研发设计软件,125.72,391.917,4.635,0.7274,26.84,-0.7866,60.249372,18.36
002268,电科网安,核心,网络安全,124.65,216.129,2.282,4.6853,-4.04,-1.71,36.562541,-7.81
002354,天娱数科,剔除,传媒/广告/电商/零售,123.76,-253.559,7.169,10.9381,10.76,0.4072,31.072277,8.38
300459,汤姆猫,剔除,游戏,122.7,-10.265,15.893,4.4748,-3.32,0.5159,87.058341,0.47
600271,航天信息,核心,网络安全,122.48,-16.525,0.952,21.5162,-13.51,-3.7694,18.309346,-5.79
300469,信息发展,剔除,嵌入式/电力·轨交·军工硬件,121.36,-76.391,61.013,0.8793,-3.03,-0.6656,4.396586,-17.38
300687,赛意信息,核心,企业管理 ERP/OA,120.28,-113.269,4.42,10.3273,14.43,0.5602,32.308522,0.4
688088,虹软科技,核心,AI 原生/智能应用,118.31,46.078,4.318,4.3984,7.19,0.7714,89.034735,0.67
002373,千方科技,观望,软硬一体/垂直信息化,115.2,42.882,1.008,32.8279,-0.82,-0.2086,36.930744,5.74
300674,宇信科技,核心,金融IT,113.63,25.619,2.424,12.9135,-8.75,3.0938,33.442096,-1.35
600589,大位科技,剔除,IDC/算力租赁/机房,113.49,-766.0,19.412,2.5932,26.05,-0.6974,15.808906,-4.65
600850,电科数字,观望,软硬一体/垂直信息化,113.13,28.857,2.339,52.0572,7.23,0.683,16.104987,-1.09
603927,中科软,核心,金融IT,112.77,50.353,3.67,24.355,0.06,0.9034,27.767171,-0.73
300468,四方精创,核心,金融IT,112.6,151.571,6.845,3.528,14.88,0.3634,35.971231,-3.84
300229,拓尔思,核心,AI 原生/智能应用,112.44,-38.281,3.059,1.2637,-48.38,-1.6875,61.425138,-1.53
688508,芯朋微电子,剔除,芯片/半导体设计,111.62,58.131,3.856,6.6511,4.57,1.5757,35.101019,-2.23
301382,蜂助手,观望,数据/云/算力服务,111.14,71.337,5.7,13.3868,36.14,0.7753,17.410423,-0.32
300113,顺网科技,观望,数据/云/算力服务,110.02,26.323,4.198,5.6559,-44.01,1.5827,66.788958,27.98
603039,泛微网络,核心,企业管理 ERP/OA,109.77,31.298,4.095,8.4862,5.04,1.1475,94.240255,0.31
002987,京北方,核心,金融IT,109.77,27.763,3.79,23.3629,-1.05,0.9882,21.089767,-0.34
300315,掌趣科技,剔除,游戏,107.22,-66.0,2.333,3.3383,-6.75,0.3626,76.93061,3.19
603859,能科科技,核心,工业/研发设计软件,106.91,43.151,2.555,7.4015,0.29,0.9469,53.219707,0.82
002544,普天科技,观望,IT服务/系统集成,106.78,425.203,2.875,17.6517,-12.78,-0.2492,11.937929,-2.2
