code,name,industry,price,pe,pb,mktcap_yi,nmc_yi,rev_26h1,rev_25h1,rev_yoy_calc,np_26h1,np_25h1,np_yoy_calc,gm_26h1,gm_25h1,gm_chg_pp,roe_26h1,fin_err
300002,神州泰岳,互联网和相关服务,7.98,19.525,1.993,156.98,147.71,32.3384,26.8471,20.45,3.8193,5.0948,-25.04,43.881001,59.828636,-15.95,4.88,
920138,杰理科技,软件和信息技术服务业,35.64,23.919,3.057,154.31,12.34,14.5755,13.7296,6.16,3.1116,2.9306,6.18,32.255739,30.319907,1.94,6.95,
300253,卫宁健康,软件和信息技术服务业,6.9,-40.78,2.818,151.89,127.97,9.9441,8.3915,18.5,-1.764,-1.1797,-49.53,33.667778,36.410184,-2.74,-3.2,
301095,广立微,软件和信息技术服务业,74.96,166.578,4.78,150.13,130.81,3.4107,2.4594,38.68,0.3478,0.1568,121.81,60.398613,58.575895,1.82,1.09,
002990,盛视科技,软件和信息技术服务业,56.45,171.061,5.742,147.78,77.91,7.3428,5.4906,33.73,1.0666,0.2408,342.94,41.529654,39.291414,2.24,4.2,
002929,润建股份,软件和信息技术服务业,51.4,367.143,2.253,147.2,111.32,37.5559,48.6672,-22.83,0.2679,0.3923,-31.71,13.544331,13.477699,0.07,0.42,
603613,国联股份,互联网和相关服务,19.66,10.743,1.448,141.66,141.66,201.7986,240.4943,-16.09,6.8567,6.8015,0.81,7.956934,6.354616,1.6,7.26,
002405,四维图新,软件和信息技术服务业,5.95,134.312,1.697,141.02,140.17,17.6676,17.605,0.36,-4.8882,-3.1054,-57.41,22.443275,33.028287,-10.59,-5.66,
688031,星环科技,软件和信息技术服务业,103.7,-51.084,18.694,140.15,125.62,1.736,1.5251,13.83,-1.1284,-1.4295,21.06,47.113817,45.684697,1.43,-14.0,
000682,东方电子,软件和信息技术服务业,10.4,15.29,2.23,139.44,139.42,36.6735,31.6213,15.98,4.0286,3.0239,33.23,30.681485,33.080611,-2.4,6.59,
300166,东方国信,软件和信息技术服务业,12.2,-64.211,2.457,138.93,113.63,10.9955,9.4087,16.87,-0.7968,-0.7917,-0.64,32.658583,31.414845,1.24,-1.4,
002410,广联达,软件和信息技术服务业,8.4,34.049,2.365,138.76,133.4,26.183,27.9955,-6.47,2.0034,2.3718,-15.53,88.816551,87.793265,1.02,3.3,
002174,游族网络,互联网和相关服务,14.01,-36.868,2.942,137.27,137.19,6.9637,6.8805,1.21,2.5268,0.5016,403.75,34.442921,39.691849,-5.25,5.54,
688158,优刻得科技,互联网和相关服务,29.65,-185.313,5.55,136.6,121.53,9.8165,7.9107,24.09,0.0808,-0.159,150.82,28.357786,24.961288,3.4,0.33,
300302,同有科技,软件和信息技术服务业,28.25,-257.521,10.534,135.39,104.97,2.6076,1.737,50.12,2.5779,-0.1838,1502.56,49.100984,51.610252,-2.51,22.42,
300671,富满微,软件和信息技术服务业,60.15,-71.607,8.038,134.67,134.3,6.777,3.8279,77.04,0.9064,-0.3577,353.4,26.12605,10.940301,15.19,5.46,
603888,新华网,互联网和相关服务,17.58,36.032,3.409,130.48,130.48,8.3205,8.1053,2.66,1.4557,1.5406,-5.51,40.589083,40.141129,0.45,3.79,
600633,浙数文化,互联网和相关服务,10.13,22.511,1.243,128.46,128.46,17.2729,14.1399,22.16,3.0139,3.7738,-20.14,41.021721,55.666191,-14.64,2.9,
688507,索辰科技,软件和信息技术服务业,141.09,391.917,4.635,125.72,69.47,0.7274,0.5735,26.84,-0.7866,-0.457,-72.12,60.249372,41.893953,18.36,-2.82,
002268,电科网安,软件和信息技术服务业,14.74,216.129,2.282,124.65,124.57,4.6853,4.8826,-4.04,-1.71,-1.7366,1.53,36.562541,44.369865,-7.81,-3.07,
002354,天娱数科,互联网和相关服务,7.48,-253.559,7.169,123.76,121.7,10.9381,9.8751,10.76,0.4072,0.2362,72.4,31.072277,22.693933,8.38,3.12,
300459,汤姆猫,互联网和相关服务,3.49,-10.265,15.893,122.7,114.67,4.4748,4.6286,-3.32,0.5159,-0.3033,270.1,87.058341,86.589589,0.47,6.68,
600271,航天信息,软件和信息技术服务业,6.61,-16.525,0.952,122.48,122.48,21.5162,24.8769,-13.51,-3.7694,-3.0208,-24.78,18.309346,24.103868,-5.79,-2.89,
300469,信息发展,软件和信息技术服务业,48.89,-76.391,61.013,121.36,121.3,0.8793,0.9068,-3.03,-0.6656,-0.4995,-33.25,4.396586,21.771659,-17.38,-29.89,
300687,赛意信息,软件和信息技术服务业,29.45,-113.269,4.42,120.28,98.91,10.3273,9.0246,14.43,0.5602,0.1821,207.63,32.308522,31.910845,0.4,2.09,
688088,虹软科技,软件和信息技术服务业,29.49,46.078,4.318,118.31,118.31,4.3984,4.1035,7.19,0.7714,0.8854,-12.88,89.034735,88.369326,0.67,2.8,
002373,千方科技,软件和信息技术服务业,7.29,42.882,1.008,115.2,100.43,32.8279,33.0997,-0.82,-0.2086,1.6971,-112.29,36.930744,31.190073,5.74,-0.18,
300674,宇信科技,软件和信息技术服务业,16.14,25.619,2.424,113.63,113.5,12.9135,14.1516,-8.75,3.0938,2.2045,40.34,33.442096,34.793456,-1.35,6.59,
600589,大位科技,互联网和相关服务,7.66,-766.0,19.412,113.49,113.25,2.5932,2.0572,26.05,-0.6974,0.6817,-202.3,15.808906,20.456486,-4.65,-11.28,
600850,电科数字,软件和信息技术服务业,13.86,28.857,2.339,113.13,113.13,52.0572,48.5476,7.23,0.683,1.0762,-36.54,16.104987,17.190717,-1.09,1.4,
603927,中科软,软件和信息技术服务业,13.57,50.353,3.67,112.77,112.77,24.355,24.3405,0.06,0.9034,1.0704,-15.6,27.767171,28.500183,-0.73,2.79,
300468,四方精创,软件和信息技术服务业,21.22,151.571,6.845,112.6,112.47,3.528,3.0711,14.88,0.3634,0.4396,-17.33,35.971231,39.811838,-3.84,2.2,
300229,拓尔思,软件和信息技术服务业,12.87,-38.281,3.059,112.44,112.36,1.2637,2.448,-48.38,-1.6875,-0.7363,-129.19,61.425138,62.953054,-1.53,-4.49,
688508,芯朋微电子,软件和信息技术服务业,84.29,58.131,3.856,111.62,111.62,6.6511,6.3602,4.57,1.5757,0.9049,74.13,35.101019,37.33437,-2.23,5.59,
