市场,代码,名称,东财一级行业,东财细分行业,证监会行业,注册/登记地址,办公地址,区/园区,港股通,口径
A股(剔除),000014,沙河股份,房地产,房地产开发-房地产开发,房地产业-房地产业,广东省深圳市南山区白石路2222号沙河世纪楼,广东省深圳市南山区白石路2222号沙河世纪楼,南山区,,地产
A股(剔除),000029,深深房A,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市罗湖区南湖街道嘉北社区人民南路3005号深房广场A46层-A48层B46层-B48层,深圳市人民南路3005号深房广场46-48层,罗湖区,,地产
A股(剔除),000031,大悦城,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,北京市朝阳区朝阳门南大街8号中粮福临门大厦13层,宝安区,,地产
A股(剔除),000036,华联控股,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市福田区深南中路2008号华联大厦16层,深圳市福田区深南中路2008号华联大厦16层,福田区,,地产
A股(剔除),000042,中洲控股,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市福田区福田街道岗厦社区金田路3088号中洲大厦3802,广东省深圳市福田区金田路3088号中洲大厦38楼,福田区,,地产
A股(剔除),000090,天健集团,房地产,房地产开发-房地产开发,建筑业-土木工程建筑业,深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦19楼,深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦16、17、18、19、20楼,福田区,,地产
A股(剔除),001914,招商积余,房地产,房地产服务-房地产服务,房地产业-房地产业,深圳市福田区华强北街道华航社区华富路1004号南光大厦2层B段201室,深圳市南山区招商街道水湾社区太子路1号新时代广场12-13层,福田区,,地产
A股(剔除),001979,招商蛇口,房地产,房地产开发-房地产开发,房地产业-房地产业,广东省深圳市南山区蛇口太子路1号新时代广场,广东省深圳市南山区太子路5号招商蛇口广场,南山区,,地产
A股(剔除),002285,世联行,房地产,房地产服务-房地产服务,房地产业-房地产业,深圳市罗湖区深南东路2028号罗湖商务中心12楼,深圳市罗湖区深南东路2028号罗湖商务中心(罗湖智汇大厦)15楼,罗湖区,,地产
A股(剔除),002314,南山控股,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市南山区招商街道赤湾社区赤湾六路8号南山开发集团赤湾总部大厦2501,深圳市南山区赤湾六路8号赤湾总部大厦25-26楼,南山区,,地产
A股(剔除),300917,特发服务,房地产,房地产服务-房地产服务,房地产业-房地产业,深圳市福田区香蜜湖街道侨香路1010号特发文创广场五楼,深圳市福田区香蜜湖街道侨香路1010号特发文创广场五楼,福田区,,地产
港股(剔除),01606,国银金融租赁,其他金融,其他金融,其他金融,中国广东省深圳市福田区福中三路2003号国银金融中心大厦,"中国广东省深圳市福田区福中三路2003号国银金融中心大厦,香港铜锣湾勿地臣街1号时代广场二座31楼",福田区,N,金融
港股(剔除),01973,深圳市天图投资管理,其他金融,其他金融,其他金融,中国深圳市福田区沙头街道天安社区深南大道深铁置业大厦四十三层05单元,"深圳市南山区侨香路4068号智慧广场B栋1座23楼2-3层,香港铜锣湾希慎道33号利园一期19楼1928室",福田区,N,金融
港股(剔除),02318,中国平安保险,保险,保险,保险,深圳市福田区益田路5033号平安金融中心47、48、109、110、111、112层,深圳市福田区益田路5033号平安金融中心47、48、108、109、110、111、112层,福田区,Y,金融
港股(剔除),03968,招商银行,银行,银行,银行,中国广东省深圳市福田区深南大道7088号,广东省深圳市福田区深南大道7088号,福田区,Y,金融
港股(剔除),06030,中信证券,其他金融,其他金融,其他金融,广东省深圳市福田区中心三路8号卓越时代广场(二期)北座,"广东省深圳市福田区中心三路8号中信证券大厦,北京市朝阳区亮马桥路48号中信证券大厦",福田区,Y,金融
港股(剔除),06069,盛业,其他金融,其他金融,其他金融,"Windward 3, Regatta Office Park, P.O. Box 1350, Grand Cayman, Cayman Islands","中国深圳市福田区福田街道金田路3086号大百汇广场46层及47层,香港金钟金钟道89号力宝中心第一座42楼4202室",福田区,Y,金融
港股(剔除),06099,招商证券,其他金融,其他金融,其他金融,深圳市福田区福田街道福华一路111号,"深圳市福田区福田街道福华一路111号,香港中环康乐广场8号交易广场一座32楼",福田区,Y,金融
港股(剔除),06963,阳光保险,保险,保险,保险,深圳市南山区粤海街道海珠社区兰芷二路66号阳光保险大厦3001-3008,"中国深圳市福田区红荔西路7002号第一世界广场A座17层,香港湾仔皇后大道东248号大新金融中心40楼",南山区,Y,金融
港股(剔除),08030,丰银禾,其他金融,其他金融,其他金融,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港九龙尖沙咀麽地道66号尖沙咀中心西翼10楼1007室,中国深圳市南山区沙河街道高发社区侨香路4060号香年广场A栋902室",南山区,N,金融
港股(剔除),09923,移卡,其他金融,其他金融,其他金融,"P.O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road, Grand Cayman, Cayman Islands","香港铜锣湾希慎道33号利园一期19楼1912室,中国深圳南山区科苑路15号科兴科技园A4栋19楼",南山区,N,金融
港股(剔除),01209,华润万象生活,地产,地产,地产,"PO Box 309, Ugland House, Grand Cayman, Cayman Islands","中国深圳市南山区深南大道9668号华润置地大厦B座30楼,香港湾仔港湾道26号华润大厦46楼",南山区,Y,地产
港股(剔除),02202,万科企业,地产,地产,地产,中国深圳市盐田区大梅沙环梅路33号万科中心,中国广东省深圳市福田区梅林路63号万科大厦,盐田区,Y,地产
港股(剔除),02602,万物云空间科技服务,地产,地产,地产,广东省深圳市福田区梅林街道梅亭社区广厦路1号创智云中心B栋2201,"广东省深圳市福田区梅林街道梅亭社区广厦路1号创智云中心B栋2201,香港九龙观塘海滨道123号绿景NEO大厦1607室",福田区,Y,地产
港股(剔除),03380,龙光,地产,地产,地产,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港柯士甸道西1号环球贸易广场68楼02-03A室,中国深圳宝安区兴华路南龙光世纪大厦B座2002室",宝安区,Y,地产
港股(剔除),00095,绿景地产投资,地产,地产,地产,"Windward 3, Regatta Office Park, PO Box 1350, Grand Cayman, Cayman Islands","香港九龙观塘海滨道123号绿景NEO大厦2501室,中国深圳市福田区深南中路6011号NEO大厦(A座)55层,中国苏州市新区狮山路88号金河国际中心26层",福田区,N,地产
港股(剔除),00117,天利,工业工程,工业工程,工业工程,"Cricket Square, Hutchins Drive, PO Box 2681, Grand Cayman, Cayman Islands","香港湾仔湾仔道232号恒汇中心26楼,中国深圳市南山区西丽街道松坪山社区高新北四道13号宇阳大厦",南山区,N,非港股通
港股(剔除),00126,佳宁娜,旅游及消闲设施,旅游及消闲设施,旅游及消闲设施,"Victoria Place, 5th Floor, 31 Victoria Street, Hamilton, Bermuda","香港新界葵涌大连排道200号伟伦中心第二期26楼,中国深圳市罗湖区人民南路2002号佳宁娜友谊广场五楼",罗湖区,N,非港股通
港股(剔除),00302,中手游科技,软件服务,软件服务,软件服务,"PO Box 309, Ugland House, Grand Cayman, Cayman Islands","中国深圳市福田区中康北路卓越梅林中心广场4号楼10层,香港中环云咸街8号13楼",福田区,N,非港股通
港股(剔除),00312,岁宝百货,专业零售,专业零售,专业零售,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港九龙观塘成业街10号30楼C02室,中国深圳市罗湖区人民南路深圳发展中心一栋33层",罗湖区,N,非港股通
港股(剔除),00400,硬蛋创新,半导体,半导体,半导体,"Cricket Square, Hutchins Drive, P. O. Box 2681, Grand Cayman, Cayman Islands","香港新界屯门洪祥路3号田氏中心第2座6楼D室,中国深圳市南山区高新南九道55号微软科通大厦11楼",南山区,N,非港股通
港股(剔除),00434,博雅互动国际,软件服务,软件服务,软件服务,"PO Box 309, Ugland House, Grand Cayman, Cayman Islands","香港德辅道中188号金龙中心19楼,中国深圳南山区中山园路1001号TCL产业园国际E城E1栋8楼",南山区,N,非港股通
港股(剔除),00439,瀚源,软件服务,软件服务,软件服务,"Richmond House, 12 Par-la-Ville Road, Hamilton, Bermuda","香港铜锣湾礼顿道77号礼顿中心11楼1104室,中国深圳市龙岗区园山街道保安社区马五路1号2栋301-B077室",龙岗区,N,非港股通
港股(剔除),00484,云游,资讯科技器材,资讯科技器材,资讯科技器材,"Suite #4-210, Governors Square, 23 Lime Tree Bay Avenue, P.O. Box 32311, Grand Cayman, Cayman Islands","香港九龙荔枝角长沙湾道912号时信中心12楼3室,中国深圳市福田区车公庙天安数码城创新科技广场一期A座1106室",福田区,N,非港股通
港股(剔除),00505,兴业合金材料,一般金属及矿石,一般金属及矿石,一般金属及矿石,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港九龙观塘鸿图道37-39号鸿泰工业大厦11楼11室,中国浙江省宁波市杭州湾新区金溪路68号,中国广东省深圳市甲岸路31号",—,N,非港股通
港股(剔除),00602,佳华百货,专业零售,专业零售,专业零售,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港九龙尖沙咀广东道5号海港城海洋中心7楼715室,中国深圳市宝安中心区新湖路2146号佳华名苑4楼",—,N,非港股通
港股(剔除),00627,共生智筑,地产,地产,地产,"Clarendon House, 2 Church Street, Hamilton, Bermuda","福建省福州市高新区新港大道33号星网锐捷科技园三期A栋一楼会议室,深圳宝安区壹方中心A座36楼,香港湾仔港湾道26号华润大厦29楼2905室",宝安区,N,地产
港股(剔除),00815,中国白银,黄金及贵金属,黄金及贵金属,黄金及贵金属,"One Nexus Way, Camana Bay, Grand Cayman, Cayman Islands","香港上环干诺道中168-200号信德中心招商局大厦17楼05室,中国广东省深圳市罗湖区东晓街道独树社区布心路3008号水贝珠宝总部大厦A座37楼",罗湖区,N,非港股通
港股(剔除),00842,理士国际技术,工业工程,工业工程,工业工程,"Cricket Square, Hutchins Drive, PO Box 2681, Grand Cayman, Cayman Islands","香港新界荃湾海盛路3号TML广场33楼C室,中国广东省深圳市南山区南海大道2061号新保辉大厦5楼",南山区,N,非港股通
